threshold,tp,fp,fn,tn,false_pass_rate,false_reject_rate
5,75,1,0,0,0.0,1.0
10,74,1,1,0,0.013333333333333334,1.0
15,74,1,1,0,0.013333333333333334,1.0
20,72,1,3,0,0.04,1.0
25,67,0,8,1,0.10666666666666667,0.0
30,65,0,10,1,0.13333333333333333,0.0
35,58,0,17,1,0.22666666666666666,0.0
40,51,0,24,1,0.32,0.0
45,42,0,33,1,0.44,0.0
50,36,0,39,1,0.52,0.0
55,33,0,42,1,0.56,0.0
60,28,0,47,1,0.6266666666666667,0.0
65,26,0,49,1,0.6533333333333333,0.0
70,21,0,54,1,0.72,0.0
75,12,0,63,1,0.84,0.0
80,5,0,70,1,0.9333333333333333,0.0
85,0,0,75,1,1.0,0.0
90,0,0,75,1,1.0,0.0
95,0,0,75,1,1.0,0.0
